,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
2657,USHL,118655/joel-l-esperance,F,2014,19.075,60,27,21,48,0.8,2,2,109,0,0,DY+1,R,No,0.0,0,0
2659,USHL,118656/vinni-lettieri,F,2013,18.608333,61,28,28,56,0.918033,2,1,76,0,0,DY,R,No,0.0,0,0
2667,USHL,118658/griffin-foulk,D,2016,21.402778,43,1,4,5,0.116279,5,5,261,0,1,DY+3,L,No,0.0,0,0
2675,USHL,118661/corey-schueneman,D,2015,20.036111,58,16,30,46,0.793103,3,3,144,0,1,DY+2,L,No,0.0,0,0
2681,USHL,118663/karson-kuhlman,F,2014,18.969444,56,25,19,44,0.785714,3,1,77,0,0,DY,R,No,0.0,0,0
2682,USHL,118664/sean-malone,F,2013,18.375,15,5,8,13,0.866667,1,0,15,1,0,DY,L,Yes,0.0,1,1
2688,USHL,118668/dan-labosky,F,2016,21.308332999999998,52,15,27,42,0.807692,3,3,152,0,1,DY+3,L,No,0.0,0,0
2692,USHL,118670/anthony-walsh,D,2015,19.983333,53,2,9,11,0.20754699999999998,3,2,105,0,0,DY+1,R,No,0.0,0,0
2693,USHL,118672/kale-bennett,D,2013,17.791667,41,0,3,3,0.073171,1,1,41,1,0,DY-1,L,No,0.0,0,0
2712,USHL,11883/brett-motherwell,D,2005,19.011111,60,5,33,38,0.633333,2,2,98,0,0,DY+1,L,No,0.0,0,0
2728,USHL,11913/chad-costello,F,2006,20.147222,59,31,45,76,1.288136,2,2,108,0,0,DY+2,R,No,0.0,0,0
2736,USHL,11920/luke-beaverson,D,2004,19.761111,57,1,6,7,0.122807,2,2,101,0,0,DY+1,L,Yes,0.0,0,0
2803,USHL,12012/luke-fulghum,F,2001,20.913889,55,23,27,50,0.909091,3,3,154,0,1,DY+2,R,No,0.0,0,0
2827,USHL,12014/andy-canzanello,D,2000,18.788889,5,1,2,3,0.6,1,0,5,1,0,DY,L,No,0.0,0,0
2832,USHL,12017/trevor-frischmon,F,2002,21.111110999999998,58,17,28,45,0.7758619999999999,3,2,117,0,0,DY+3,L,No,0.0,0,0
2907,USHL,12031/jacob-micflikier,F,2003,19.177778,59,31,36,67,1.135593,2,2,120,0,0,DY+1,L,No,0.0,0,0
2910,USHL,12032/justin-fletcher,D,2003,20.458333,60,12,31,43,0.716667,3,3,154,0,1,DY+2,L,No,0.0,0,0
2917,USHL,12036/p.j.-atherton,D,2002,20.080556,54,7,22,29,0.537037,3,2,102,0,0,DY+2,R,Yes,0.0,0,0
