LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
WHL,108033/matt-alfaro,F,2017,21.108333,61,25,35,60,0.983607,4,4,263,0,1,DY+3,L,No,0.0,0,0
WHL,108036/eric-krienke,F,2014,18.527778,50,3,4,7,0.14,1,1,50,1,0,DY,L,No,0.0,0,0
WHL,108055/reid-nemeth,F,2014,18.416667,58,3,2,5,0.09,1,1,58,1,0,DY,L,No,0.0,0,0
WHL,108056/kyle-o-connor,F,2015,19.625,20,1,1,2,0.1,3,3,132,0,1,DY+1,R,No,0.0,0,0
WHL,108169/brian-ballman,F,2001,21.413889,69,21,19,40,0.5797100000000001,5,5,313,0,1,DY+3,L,No,0.0,0,0
WHL,108211/martin-bobos,D,2014,19.655556,67,0,7,7,0.1,1,1,67,1,0,DY+1,L,No,0.0,0,0
WHL,108317/dallas-valentine,D,2017,21.297222,52,2,13,15,0.288462,4,4,247,0,1,DY+3,R,No,0.0,0,0
WHL,108326/curtis-miske,F,2018,21.661111,72,27,37,64,0.8888889999999999,4,4,259,0,1,DY+3,L,No,0.0,0,0
WHL,108341/brandon-ralph,F,2016,20.427778,55,5,3,8,0.15,3,3,168,0,1,DY+2,L,No,0.0,0,0
WHL,108384/dario-meyer,F,2016,19.819444,56,13,13,26,0.464286,1,1,56,1,0,DY+1,L,No,0.0,0,0
WHL,108400/kris-schmidli,F,2015,19.2,50,12,22,34,0.68,2,2,118,0,0,DY+1,L,No,0.0,0,0
WHL,108414/tyson-helgesen,D,2018,21.263889000000002,72,6,23,29,0.402778,4,4,263,0,1,DY+3,L,No,0.0,0,0
WHL,108433/evan-polei,F,2017,21.572222,69,33,29,62,0.898551,4,4,242,0,1,DY+3,L,No,0.0,0,0
