,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
14881,QMJHL,233923/ryan-white,F,2002,20.652778,66,8,10,18,0.272727,2,2,121,0,0,DY+2,L,No,0.0,0,0
14884,QMJHL,233928/pierre-bertrand-plouffe,F,2002,19.988889,25,2,4,6,0.24,3,3,149,0,1,DY+1,L,No,0.0,0,0
14885,QMJHL,233945/patrice-tassy,F,2000,18.397222,58,3,6,9,0.16,1,1,58,1,0,DY,L,No,0.0,0,0
14886,QMJHL,233946/patrick-bolduc,D,2001,19.597222,6,0,1,1,0.17,1,0,6,1,0,DY+1,L,No,0.0,0,0
14887,QMJHL,233952/francis-claude,F,2000,18.144444,17,0,1,1,0.06,1,0,17,1,0,DY,-,No,0.0,0,0
14889,USHL,234036/christopher-dodero,F,2017,19.711111,31,5,2,7,0.225806,2,2,87,0,0,DY+1,L,No,0.0,0,0
14890,USHL,234046/troy-terry,F,2015,18.013889000000002,25,6,8,14,0.56,1,1,25,1,0,DY,R,Yes,0.382353,34,1
14892,WHL,23408/michal-gulasi,D,2005,19.158333,64,2,19,21,0.328125,2,2,127,0,0,DY+1,L,No,0.0,0,0
14896,OHL,23409/chris-cava,D,2001,20.919444,56,6,15,21,0.375,4,4,242,0,1,DY+2,L,No,0.0,0,0
14901,OHL,23412/michael-quesnele,D,2010,21.658333,61,13,41,54,0.8852459999999999,5,5,294,0,1,DY+3,L,No,0.0,0,0
14905,OHL,23413/john-kurtz,F,2010,21.330556,62,30,16,46,0.741935,4,4,251,0,1,DY+3,L,No,0.0,0,0
14910,OHL/QMJHL,23414/daniel-lombardi,F,2010,21.508333,22,6,8,14,0.636364,5,5,196,0,1,DY+3,L,No,0.0,0,0
14913,USHL,234302/jason-dhooghe,F,2017,20.5,60,9,9,18,0.3,3,3,142,0,1,DY+2,L,No,0.0,0,0
14915,USHL,234306/michael-floodstrand,F,2015,18.691667000000002,23,3,9,12,0.5217390000000001,2,2,43,0,0,DY,R,No,0.0,0,0
14919,USHL,234310/michael-joyaux,D,2018,21.588889,58,1,22,23,0.396552,4,4,234,0,1,DY+3,R,No,0.0,0,0
14921,USHL,234311/vasili-kolias,D,2016,19.602778,55,7,16,23,0.418182,2,2,103,0,0,DY+1,L,No,0.0,0,0
