LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
QMJHL,28642/denis-desmarais,D,2002,21.247222,72,7,19,26,0.361111,4,4,264,0,1,DY+3,L,No,0.0,0,0
QMJHL,286424/jean-francois-talbot,F,2000,19.947222,28,2,3,5,0.18,1,1,28,1,0,DY+1,L,No,0.0,0,0
QMJHL,28646/justin-saulnier,F,2007,20.413889,57,12,18,30,0.526316,4,4,225,0,1,DY+2,L,No,0.0,0,0
QMJHL,28649/louis-simon-allaire,D,2005,20.622222,67,6,20,26,0.38806,3,3,194,0,1,DY+2,L,No,0.0,0,0
QMJHL,28653/andre-martineau,F,2002,21.427778,70,32,49,81,1.157143,4,4,280,0,1,DY+3,R,No,0.0,0,0
QMJHL,28656/samuel-gibbons,D,2004,21.288889,68,8,18,26,0.382353,4,4,233,0,1,DY+3,R,No,0.0,0,0
QMJHL,28657/eric-lavigne,D,2001,21.655556,71,13,39,52,0.732394,4,4,265,0,1,DY+3,L,No,0.0,0,0
QMJHL,28658/david-masse,F,2003,20.786111,70,50,48,98,1.4,3,3,184,0,1,DY+2,L,No,0.0,0,0
QMJHL,28659/christian-laroche,F,2005,21.475,20,3,7,10,0.5,4,4,198,0,1,DY+3,R,No,0.0,0,0
QMJHL,28662/steeve-vandal,F,2000,21.505556,64,19,34,53,0.828125,4,4,265,0,1,DY+3,R,No,0.0,0,0
QMJHL,28666/kevin-hamel,F,2005,20.255556,53,11,12,23,0.433962,4,3,139,0,1,DY+2,R,No,0.0,0,0
QMJHL,28669/guillaume-letourneau,D,2006,19.138889000000002,32,1,1,2,0.06,1,1,32,1,0,DY+1,L,No,0.0,0,0
QMJHL,28673/samuel-duplain,F,2002,21.366667,69,5,3,8,0.12,4,4,251,0,1,DY+3,R,No,0.0,0,0
QMJHL,28674/guillaume-veilleux,D,2007,21.438889,31,1,8,9,0.29,5,5,235,0,1,DY+3,L,No,0.0,0,0
QMJHL,287295/cayse-ton,F,2018,19.130556,60,5,2,7,0.12,1,1,60,1,0,DY+1,L,No,0.0,0,0
QMJHL,287319/jamie-clavet,F,2017,20.344444,2,0,2,2,1.0,2,0,58,0,0,DY+2,L,No,0.0,0,0
QMJHL,28786/sebastien-courcelles,F,2005,20.822222,64,32,21,53,0.828125,5,5,332,0,1,DY+2,R,No,0.0,0,0
QMJHL,28788/jerome-bergeron,F,2002,21.197222,66,25,48,73,1.106061,5,5,316,0,1,DY+3,R,No,0.0,0,0
QMJHL,289399/daniil-miromanov,D,2018,21.177778,38,8,24,32,0.8421049999999999,3,3,170,0,1,DY+3,R,No,0.0,0,0
